                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.2259,                0.71574,                 1.0849,                0.81028,                0.74667,                0.81033,                  0.403,                 1.7419,                0.92756,                 1.3108,                0.00802,                0.00802,                0.00802
                     62,                 1.2234,                0.71025,                 1.0823,                0.80751,                0.78019,                0.83569,                 0.3814,                 1.8542,                0.83662,                 1.3864,               0.007987,               0.007987,               0.007987
                     63,                 1.2221,                0.71182,                  1.082,                0.86481,                0.75272,                 0.8484,                0.42213,                 1.7732,                0.85639,                 1.3136,               0.007954,               0.007954,               0.007954
                     64,                 1.2162,                0.71206,                 1.0737,                0.83894,                0.76467,                0.85354,                0.39665,                 1.8518,                0.85485,                 1.3708,               0.007921,               0.007921,               0.007921
                     65,                 1.2129,                0.70528,                 1.0768,                0.88847,                0.77228,                0.86369,                0.39263,                 1.8612,                0.83168,                  1.372,               0.007888,               0.007888,               0.007888
                     66,                 1.1932,                0.68662,                 1.0694,                 0.8515,                0.78967,                0.86903,                0.42262,                 1.7812,                0.81417,                 1.3326,               0.007855,               0.007855,               0.007855
                     67,                 1.1985,                0.69751,                 1.0718,                0.84143,                0.79936,                0.83953,                0.38445,                 1.8754,                0.84974,                 1.3754,               0.007822,               0.007822,               0.007822
                     68,                 1.1993,                0.69454,                 1.0685,                0.85057,                0.78546,                0.84524,                0.40457,                 1.7787,                0.82665,                 1.3207,               0.007789,               0.007789,               0.007789
                     69,                  1.206,                 0.6963,                 1.0744,                 0.8667,                0.77717,                0.85971,                0.41678,                 1.7816,                0.81158,                 1.3279,               0.007756,               0.007756,               0.007756
                     70,                 1.1844,                0.68893,                 1.0679,                0.82611,                0.79674,                0.85363,                0.39274,                 1.8508,                0.85643,                 1.3571,               0.007723,               0.007723,               0.007723
