                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.2119,                0.70588,                 1.0783,                0.81401,                0.82772,                0.84318,                0.38856,                 1.8287,                0.82025,                 1.3337,               0.005248,               0.005248,               0.005248
                     50,                 1.2102,                0.69781,                 1.0749,                0.83937,                0.83936,                0.86988,                0.42489,                 1.7669,                 0.7905,                 1.3258,               0.005149,               0.005149,               0.005149
                     51,                 1.2057,                0.69068,                 1.0749,                0.77098,                0.80761,                0.83596,                 0.4154,                 1.7566,                0.81253,                 1.3163,                0.00505,                0.00505,                0.00505
                     52,                 1.2058,                0.68923,                 1.0695,                0.85135,                0.77231,                0.85364,                0.40828,                 1.8157,                0.84906,                 1.3375,               0.004951,               0.004951,               0.004951
                     53,                 1.1928,                 0.6862,                  1.065,                0.86697,                0.78184,                0.86096,                0.41528,                 1.8291,                0.80657,                 1.3438,               0.004852,               0.004852,               0.004852
                     54,                 1.1947,                0.68546,                 1.0643,                0.80545,                0.80243,                0.87001,                0.42573,                 1.7654,                0.82648,                 1.3165,               0.004753,               0.004753,               0.004753
                     55,                 1.1799,                0.67611,                 1.0613,                0.82868,                0.82174,                0.85704,                0.40102,                 1.8293,                0.82372,                  1.344,               0.004654,               0.004654,               0.004654
                     56,                 1.1713,                0.66124,                 1.0559,                0.86783,                0.82726,                0.86158,                0.41174,                 1.8005,                0.81138,                 1.3336,               0.004555,               0.004555,               0.004555
                     57,                 1.1772,                0.67168,                  1.063,                0.82055,                0.83977,                0.87001,                0.43029,                 1.7637,                0.79748,                 1.3132,               0.004456,               0.004456,               0.004456
                     58,                 1.1577,                0.65982,                 1.0557,                0.85134,                0.81625,                0.84889,                0.39591,                  1.851,                0.82933,                 1.3584,               0.004357,               0.004357,               0.004357
                     59,                 1.1617,                 0.6661,                 1.0557,                0.82922,                0.82721,                0.84955,                0.40553,                 1.8091,                0.83293,                 1.3484,               0.004258,               0.004258,               0.004258
